terminal_id, vehicle_id, driver_id, datetime, distance, running_time, less_than_10km, less_than_20km, less_than_30km, less_than_40km, less_than_50km, less_than_60km, less_than_70km, less_than_80km, less_than_90km, less_than_100km, less_than_110km, less_than_120km, less_than_130km, less_than_140km, less_than_150km, less_than_160km, engine_start_time, engine_end_time,average_speed, max_speed, fuel_consumption, fuel_efficiency, sudden_accel_count, sudden_brake_count, idle_time, eco_driving_time, over_speed_time, co2_emissions, max_cooling_water_temp, avg_battery_volt
PT-001, PV-001, PD-001, 2012-04-19 15:00:00,150,480,10,20,30,30,50,50,30,20,20,10,5,5,0,0,0,0, 2012-04-19 09:00:00, 2012-04-19 13:40:00,50,125,35,5,36,60,25,30,36,125,48,11.4
PT-001, PV-001, PD-001, 2012-04-20 15:00:00,170,520,10,20,30,30,50,50,30,20,20,10,5,5,0,0,0,0, 2012-04-20 09:00:00, 2012-04-20 13:40:00,50,125,35,5,36,60,25,30,36,125,48,11.7
PT-001, PV-001, PD-001, 2012-04-21 15:00:00,250,430,10,20,30,30,50,50,30,20,20,10,5,5,0,0,0,0, 2012-04-21 09:00:00, 2012-04-21 13:40:00,50,125,35,5,36,60,25,30,36,125,48,11.7
PT-001, PV-001, PD-001, 2012-04-22 15:00:00,180,350,10,20,30,30,50,50,30,20,20,10,5,5,0,0,0,0, 2012-04-22 09:00:00, 2012-04-22 13:40:00,50,125,35,5,36,60,25,30,36,125,48,11.7
PT-001, PV-001, PD-001, 2012-04-23 15:00:00,110,640,10,20,30,30,50,50,30,20,20,10,5,5,0,0,0,0, 2012-04-23 09:00:00, 2012-04-23 13:40:00,50,125,35,5,36,60,25,30,36,125,48,11.7
PT-001, PV-001, PD-001, 2012-04-24 15:00:00,190,800,10,20,30,30,50,50,30,20,20,10,5,5,0,0,0,0, 2012-04-24 09:00:00, 2012-04-24 13:40:00,50,125,35,5,36,60,25,30,36,125,48,11.7
PT-001, PV-001, PD-001, 2012-04-25 15:00:00,230,280,10,20,30,30,50,50,30,20,20,10,5,5,0,0,0,0, 2012-04-25 09:00:00, 2012-04-25 13:40:00,50,125,35,5,36,60,25,30,36,125,48,11.7
PT-001, PV-001, PD-001, 2012-04-26 15:00:00,110,280,10,20,30,30,50,50,30,20,20,10,5,5,0,0,0,0, 2012-04-26 09:00:00, 2012-04-26 13:40:00,50,125,35,5,36,60,25,30,36,125,48,11.7
PT-001, PV-001, PD-001, 2012-04-27 15:00:00,130,310,10,20,30,30,50,50,30,20,20,10,5,5,0,0,0,0, 2012-04-27 09:00:00, 2012-04-27 13:40:00,50,125,35,5,36,60,25,30,36,125,48,11.7
PT-001, PV-001, PD-001, 2012-04-28 15:00:00,250,340,10,20,30,30,50,50,30,20,20,10,5,5,0,0,0,0, 2012-04-28 09:00:00, 2012-04-28 13:40:00,50,125,35,5,36,60,25,30,36,125,48,11.7
