vehicle_id,vehicle_group_id
V001,3000
V002,3000
V003,3000
V004,3000
V005,3000
V006,3000
V007,3000
V008,3000
V009,3000
V010,3000
V011,5012
V012,5012
V013,5012
V014,5012
V015,5012
V016,5012
V017,5012
V018,5012
V019,5012
V020,5012
V021,6001
V022,6001
V023,6001
V024,6001
V025,6001
V026,6001
V027,6001
V028,6001
V029,6001
V030,6001
V031,9401
V032,9401
V033,9401
V034,9401
V035,9401
V036,9401
V037,9401
V038,9401
V039,9401
V040,9401
V041,9404
V042,9404
V043,9404
V044,9404
V045,9404
V046,9404
V047,9404
V048,9404
V049,9404
V050,9404
