vehicle, year, month, month_date, run_dist, run_time, consmpt, co2_emss, effcc, mnt_time, oos_cnt, mnt_cnt
V001, 2012,  6, 2012-06-01, 1000, 1500, 330, 100, 3.15, 15, 1, 1
V002, 2012,  6, 2012-06-01, 1000, 1200, 130, 119, 2.75, 23, 1, 1
V003, 2012,  6, 2012-06-01, 1000, 1100, 390, 150, 3.45,  0, 0, 0
V004, 2012,  6, 2012-06-01, 1000, 1660, 320, 170, 3.15, 15, 1, 1
V005, 2012,  6, 2012-06-01, 1000, 1635, 300, 135, 3.38, 23, 1, 1
V006, 2012,  6, 2012-06-01, 1000, 1600, 230, 127, 2.75,  0, 0, 0
V007, 2012,  6, 2012-06-01, 1000, 1660, 210, 99,  3.15, 15, 1, 1
V008, 2012,  6, 2012-06-01, 1000, 1250, 350, 117, 2.99, 23, 1, 1
V009, 2012,  6, 2012-06-01, 1000, 1750, 300, 131, 3.15,  0, 0, 0
V010, 2012,  6, 2012-06-01, 1000, 1820, 310, 135, 3.27, 15, 1, 1
V011, 2012,  6, 2012-06-01, 1000, 1500, 330, 100, 3.15, 15, 1, 1
V012, 2012,  6, 2012-06-01, 1000, 1200, 130, 119, 2.75, 23, 1, 1
V013, 2012,  6, 2012-06-01, 1000, 1100, 390, 150, 3.45,  0, 0, 0
V014, 2012,  6, 2012-06-01, 1000, 1660, 320, 170, 3.15, 15, 1, 1
V015, 2012,  6, 2012-06-01, 1000, 1635, 300, 135, 3.38, 23, 1, 1
V016, 2012,  6, 2012-06-01, 1000, 1600, 230, 127, 2.75,  0, 0, 0
V017, 2012,  6, 2012-06-01, 1000, 1660, 210, 99,  3.15, 15, 1, 1
V018, 2012,  6, 2012-06-01, 1000, 1250, 350, 117, 2.99, 23, 1, 1
V019, 2012,  6, 2012-06-01, 1000, 1750, 300, 131, 3.15,  0, 0, 0
V020, 2012,  6, 2012-06-01, 1000, 1820, 310, 135, 3.27, 15, 1, 1
V021, 2012,  6, 2012-06-01, 1000, 1500, 330, 100, 3.15, 15, 1, 1
V022, 2012,  6, 2012-06-01, 1000, 1200, 130, 119, 2.75, 23, 1, 1
V023, 2012,  6, 2012-06-01, 1000, 1100, 390, 150, 3.45,  0, 0, 0
V024, 2012,  6, 2012-06-01, 1000, 1660, 320, 170, 3.15, 15, 1, 1
V025, 2012,  6, 2012-06-01, 1000, 1635, 300, 135, 3.38, 23, 1, 1
V026, 2012,  6, 2012-06-01, 1000, 1600, 230, 127, 2.75,  0, 0, 0
V027, 2012,  6, 2012-06-01, 1000, 1660, 210, 99,  3.15, 15, 1, 1
V028, 2012,  6, 2012-06-01, 1000, 1250, 350, 117, 2.99, 23, 1, 1
V029, 2012,  6, 2012-06-01, 1000, 1750, 300, 131, 3.15,  0, 0, 0
V030, 2012,  6, 2012-06-01, 1000, 1820, 310, 135, 3.27, 15, 1, 1
V031, 2012,  6, 2012-06-01, 1000, 1500, 330, 100, 3.15, 15, 1, 1
V032, 2012,  6, 2012-06-01, 1000, 1200, 130, 119, 2.75, 23, 1, 1
V033, 2012,  6, 2012-06-01, 1000, 1100, 390, 150, 3.45,  0, 0, 0
V034, 2012,  6, 2012-06-01, 1000, 1660, 320, 170, 3.15, 15, 1, 1
V035, 2012,  6, 2012-06-01, 1000, 1635, 300, 135, 3.38, 23, 1, 1
V036, 2012,  6, 2012-06-01, 1000, 1600, 230, 127, 2.75,  0, 0, 0
V037, 2012,  6, 2012-06-01, 1000, 1660, 210, 99,  3.15, 15, 1, 1
V038, 2012,  6, 2012-06-01, 1000, 1250, 350, 117, 2.99, 23, 1, 1
V039, 2012,  6, 2012-06-01, 1000, 1750, 300, 131, 3.15,  0, 0, 0
V040, 2012,  6, 2012-06-01, 1000, 1820, 310, 135, 3.27, 15, 1, 1
V041, 2012,  6, 2012-06-01, 1000, 1500, 330, 100, 3.15, 15, 1, 1
V042, 2012,  6, 2012-06-01, 1000, 1200, 130, 119, 2.75, 23, 1, 1
V043, 2012,  6, 2012-06-01, 1000, 1100, 390, 150, 3.45,  0, 0, 0
V044, 2012,  6, 2012-06-01, 1000, 1660, 320, 170, 3.15, 15, 1, 1
V045, 2012,  6, 2012-06-01, 1000, 1635, 300, 135, 3.38, 23, 1, 1
V046, 2012,  6, 2012-06-01, 1000, 1600, 230, 127, 2.75,  0, 0, 0
V047, 2012,  6, 2012-06-01, 1000, 1660, 210, 99,  3.15, 15, 1, 1
V048, 2012,  6, 2012-06-01, 1000, 1250, 350, 117, 2.99, 23, 1, 1
V049, 2012,  6, 2012-06-01, 1000, 1750, 300, 131, 3.15,  0, 0, 0
V050, 2012,  6, 2012-06-01, 1000, 1820, 310, 135, 3.27, 15, 1, 1
